"region"	"civilstånd"	"ålder"	"kön"	"1994"	"1995"	"1996"	"1997"	"1998"	"1999"	"2000"	"2001"	"2002"	"2003"	"2004"	"2005"	"2006"	"2007"	"2008"	"2009"	"2010"	"2011"	"2012"	"2013"	"2014"	"2015"	"2016"	"2017"	"2018"	"2019"
"07 Kronobergs län"	"änkor/änklingar"	"totalt ålder"	"kvinnor"	9636	9591	9503	9444	9452	9338	9201	9070	8962	8836	8713	8593	8492	8337	8202	8092	8043	7933	7835	7725	7628	7528	7450	7308	7179	7129
"08 Kalmar län"	"ogifta"	"totalt ålder"	"män"	62185	62231	62100	61857	61410	61167	60933	60980	61293	61689	61701	61700	61758	61859	61846	62107	62165	62096	62374	62714	63577	64528	66418	67071	67536	67934
"08 Kalmar län"	"ogifta"	"totalt ålder"	"kvinnor"	51115	51273	51286	51168	50824	50596	50462	50665	50945	51278	51446	51480	51554	51634	51545	51692	51799	51911	52109	52285	52775	53528	54831	55419	55867	56234
"08 Kalmar län"	"gifta"	"totalt ålder"	"män"	48255	47581	46675	45886	45097	44505	44018	43432	43031	42717	42413	42087	41953	41975	41846	41860	41666	41503	41515	41506	41705	41940	42655	42546	42491	42401
"08 Kalmar län"	"gifta"	"totalt ålder"	"kvinnor"	48420	47736	46847	46014	45247	44644	44115	43542	43106	42819	42524	42199	42017	41992	41846	41858	41704	41533	41558	41488	41500	41548	42145	42229	42239	42163
"08 Kalmar län"	"skilda"	"totalt ålder"	"män"	7239	7479	7713	7906	8084	8225	8429	8615	8775	8905	8987	9117	9228	9295	9359	9397	9558	9575	9671	9762	9905	9982	10076	10177	10340	10464
"08 Kalmar län"	"skilda"	"totalt ålder"	"kvinnor"	8331	8596	8893	9118	9339	9535	9773	9997	10252	10500	10643	10772	10932	11074	11210	11295	11426	11491	11528	11645	11825	11995	12150	12293	12516	12704
"08 Kalmar län"	"änkor/änklingar"	"totalt ålder"	"män"	3709	3650	3600	3526	3514	3461	3466	3459	3458	3449	3426	3409	3366	3282	3238	3217	3193	3195	3198	3130	3146	3155	3147	3130	3173	3157
"08 Kalmar län"	"änkor/änklingar"	"totalt ålder"	"kvinnor"	14803	14826	14782	14685	14589	14368	14195	14007	13767	13529	13356	13180	12968	12723	12507	12213	12025	11786	11595	11344	11165	11003	10879	10671	10508	10389
"09 Gotlands län"	"ogifta"	"totalt ålder"	"män"	15775	15783	15822	15890	15961	15831	15773	15874	15893	15940	15994	15879	15942	15846	15765	15832	15867	15853	15776	15768	15776	15877	16158	16386	16640	16846
"09 Gotlands län"	"ogifta"	"totalt ålder"	"kvinnor"	13523	13561	13652	13705	13712	13718	13698	13789	13776	13942	14070	14041	13954	13865	13759	13878	13854	13883	13880	13819	13835	13879	14082	14266	14512	14658
"09 Gotlands län"	"gifta"	"totalt ålder"	"män"	10411	10276	10036	9863	9729	9640	9556	9475	9453	9372	9336	9299	9221	9207	9274	9315	9342	9348	9382	9349	9343	9326	9375	9452	9524	9545
"09 Gotlands län"	"gifta"	"totalt ålder"	"kvinnor"	10406	10289	10059	9866	9736	9620	9569	9468	9439	9372	9327	9310	9228	9192	9239	9279	9316	9311	9359	9316	9316	9285	9302	9372	9428	9445
"09 Gotlands län"	"skilda"	"totalt ålder"	"män"	1917	1961	2020	2058	2091	2150	2194	2252	2257	2310	2348	2378	2411	2471	2487	2481	2477	2495	2489	2551	2615	2631	2668	2684	2696	2714
"09 Gotlands län"	"skilda"	"totalt ålder"	"kvinnor"	2240	2304	2386	2443	2501	2584	2656	2732	2800	2849	2878	2913	2962	3020	3055	3076	3109	3151	3147	3169	3211	3247	3323	3364	3396	3442
"09 Gotlands län"	"änkor/änklingar"	"totalt ålder"	"män"	787	776	789	785	770	748	764	756	745	768	751	744	722	717	709	702	693	708	712	720	721	721	709	714	713	711
"09 Gotlands län"	"änkor/änklingar"	"totalt ålder"	"kvinnor"	3178	3170	3207	3181	3143	3137	3103	3066	3018	2982	2957	2924	2857	2804	2716	2658	2611	2559	2496	2469	2438	2425	2386	2357	2340	2325
"10 Blekinge län"	"ogifta"	"totalt ålder"	"män"	38763	38944	38992	39147	39271	39138	39229	39235	39245	39471	39713	40133	40597	40832	41113	41437	41857	41774	41483	41641	42221	43162	44203	44698	44838	44870
"10 Blekinge län"	"ogifta"	"totalt ålder"	"kvinnor"	31366	31455	31417	31544	31667	31594	31574	31587	31715	31778	32015	32162	32433	32575	32665	32744	32897	33007	32927	33291	33790	34422	35068	35468	35683	35803
"10 Blekinge län"	"gifta"	"totalt ålder"	"män"	30620	30198	29787	29423	29048	28729	28500	28312	28131	27877	27836	27732	27763	27829	27809	27751	27761	27618	27414	27349	27498	27777	27994	27985	27944	27817
"10 Blekinge län"	"gifta"	"totalt ålder"	"kvinnor"	30707	30292	29860	29478	29103	28773	28565	28356	28163	27943	27907	27780	27709	27725	27679	27632	27600	27474	27312	27231	27326	27461	27701	27726	27758	27599
"10 Blekinge län"	"skilda"	"totalt ålder"	"män"	4811	4979	5091	5184	5340	5452	5527	5593	5670	5778	5849	5902	5966	6028	6093	6205	6260	6307	6417	6481	6521	6586	6634	6672	6718	6782
"10 Blekinge län"	"skilda"	"totalt ålder"	"kvinnor"	5716	5915	5990	6143	6305	6429	6597	6693	6809	6955	7068	7162	7259	7343	7443	7539	7664	7764	7854	8016	8094	8186	8260	8321	8375	8418
